minuto;2,6min;2,10min;2,15min;2,20min;2,25min;2,30min;2,1h;2,2h;2,3h;2,4h;2,6h;2,8h;2,10h;2,12h;2,18h;2,24h;5,6min;5,10min;5,15min;5,20min;5,25min;5,30min;5,1h;5,2h;5,3h;5,4h;5,6h;5,8h;5,10h;5,12h;5,18h;5,24h;10,6min;10,10min;10,15min;10,20min;10,25min;10,30min;10,1h;10,2h;10,3h;10,4h;10,6h;10,8h;10,10h;10,12h;10,18h;10,24h;20,6min;20,10min;20,15min;20,20min;20,25min;20,30min;20,1h;20,2h;20,3h;20,4h;20,6h;20,8h;20,10h;20,12h;20,18h;20,24h;25,6min;25,10min;25,15min;25,20min;25,25min;25,30min;25,1h;25,2h;25,3h;25,4h;25,6h;25,8h;25,10h;25,12h;25,18h;25,24h;50,6min;50,10min;50,15min;50,20min;50,25min;50,30min;50,1h;50,2h;50,3h;50,4h;50,6h;50,8h;50,10h;50,12h;50,18h;50,24h;100,6min;100,10min;100,15min;100,20min;100,25min;100,30min;100,1h;100,2h;100,3h;100,4h;100,6h;100,8h;100,10h;100,12h;100,18h;100,24h;200,6min;200,10min;200,15min;200,20min;200,25min;200,30min;200,1h;200,2h;200,3h;200,4h;200,6h;200,8h;200,10h;200,12h;200,18h;200,24h;500,6min;500,10min;500,15min;500,20min;500,25min;500,30min;500,1h;500,2h;500,3h;500,4h;500,6h;500,8h;500,10h;500,12h;500,18h;500,24h;1000,6min;1000,10min;1000,15min;1000,20min;1000,25min;1000,30min;1000,1h;1000,2h;1000,3h;1000,4h;1000,6h;1000,8h;1000,10h;1000,12h;1000,18h;1000,24h;10000,6min;10000,10min;10000,15min;10000,20min;10000,25min;10000,30min;10000,1h;10000,2h;10000,3h;10000,4h;10000,6h;10000,8h;10000,10h;10000,12h;10000,18h;10000,24h
172;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0279;0.026;0.0273;0.09;0.0495;0.0311;0.0129;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0417;0.0389;0.0408;0.1348;0.0742;0.0466;0.0194;0.015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0692;0.0647;0.0679;0.2243;0.1235;0.0776;0.0323;0.025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2544;0.2381;0.2501;0.827;0.4556;0.2864;0.1194;0.0924;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2627;0.246;0.2585;0.8549;0.471;0.2962;0.1236;0.0956;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2879;0.2698;0.2838;0.9392;0.5177;0.3256;0.1359;0.1052;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3084;0.2901;0.3065;1.017;0.5616;0.3537;0.148;0.1147;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3365;0.316;0.3332;1.1041;0.6092;0.3834;0.1603;0.1241;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3683;0.3462;0.3656;1.2125;0.6693;0.4215;0.1763;0.1366;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4706;0.4426;0.4677;1.5517;0.8568;0.5396;0.2259;0.175;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.473;0.4462;0.4731;1.5729;0.8697;0.5483;0.23;0.1784
173;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0289;0.0259;0.027;0.0905;0.0502;0.0313;0.013;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0432;0.0387;0.0404;0.1355;0.0752;0.0469;0.0194;0.015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0716;0.0643;0.0672;0.2255;0.1251;0.0782;0.0324;0.025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2635;0.2367;0.2475;0.8316;0.4615;0.2884;0.1195;0.0924;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2721;0.2445;0.2558;0.8596;0.4772;0.2983;0.1236;0.0956;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2982;0.2682;0.2808;0.9444;0.5244;0.3279;0.136;0.1052;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3194;0.2884;0.3033;1.0226;0.5688;0.3562;0.1481;0.1148;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3485;0.3141;0.3297;1.1102;0.6171;0.3861;0.1603;0.1242;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3814;0.3442;0.3617;1.2191;0.678;0.4244;0.1764;0.1367;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4874;0.44;0.4627;1.5602;0.8679;0.5434;0.2259;0.1751;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.49;0.4436;0.4681;1.5815;0.881;0.5522;0.23;0.1785
174;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0293;0.0257;0.0267;0.091;0.0508;0.0316;0.013;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0438;0.0384;0.04;0.1362;0.0761;0.0473;0.0194;0.015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0727;0.0639;0.0664;0.2266;0.1267;0.0787;0.0324;0.025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2674;0.2351;0.2449;0.8357;0.4674;0.2905;0.1195;0.0924;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.276;0.2429;0.2531;0.8639;0.4833;0.3004;0.1237;0.0956;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3025;0.2664;0.2778;0.9491;0.5312;0.3303;0.136;0.1053;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3241;0.2865;0.3001;1.0277;0.5762;0.3587;0.1482;0.1148;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3536;0.312;0.3262;1.1157;0.6251;0.3889;0.1604;0.1242;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.387;0.3419;0.3579;1.2252;0.6868;0.4275;0.1765;0.1367;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4945;0.4371;0.4578;1.568;0.8791;0.5473;0.226;0.1752;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4971;0.4407;0.4632;1.5894;0.8924;0.5561;0.2301;0.1786
175;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.029;0.0255;0.0264;0.0914;0.0515;0.0318;0.013;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0433;0.0382;0.0395;0.1368;0.0771;0.0476;0.0194;0.015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0719;0.0634;0.0657;0.2276;0.1283;0.0793;0.0324;0.025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2643;0.2334;0.2423;0.8395;0.4735;0.2926;0.1196;0.0925;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2729;0.2411;0.2504;0.8678;0.4896;0.3026;0.1237;0.0957;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2991;0.2644;0.2749;0.9534;0.5381;0.3327;0.1361;0.1053;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3204;0.2844;0.2969;1.0323;0.5837;0.3614;0.1482;0.1149;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3496;0.3097;0.3227;1.1207;0.6331;0.3918;0.1605;0.1243;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3826;0.3393;0.3541;1.2307;0.6957;0.4306;0.1765;0.1368;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4889;0.4338;0.453;1.5751;0.8905;0.5514;0.2261;0.1753;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4915;0.4374;0.4583;1.5966;0.9039;0.5602;0.2302;0.1787
176;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0277;0.0253;0.0261;0.0917;0.0521;0.032;0.013;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0414;0.0379;0.0391;0.1374;0.0781;0.048;0.0194;0.015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0688;0.0629;0.065;0.2286;0.13;0.0799;0.0324;0.025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2531;0.2315;0.2397;0.8429;0.4796;0.2948;0.1196;0.0925;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2613;0.2392;0.2477;0.8713;0.4959;0.3049;0.1238;0.0957;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2863;0.2623;0.272;0.9572;0.545;0.3352;0.1361;0.1054;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3068;0.2821;0.2938;1.0365;0.5912;0.3641;0.1483;0.1149;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3347;0.3072;0.3193;1.1253;0.6413;0.3947;0.1605;0.1243;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3663;0.3367;0.3504;1.2357;0.7046;0.4339;0.1766;0.1369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4681;0.4304;0.4482;1.5814;0.902;0.5555;0.2262;0.1753;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4705;0.4339;0.4534;1.603;0.9156;0.5645;0.2303;0.1787
177;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0256;0.0251;0.0259;0.0921;0.0528;0.0323;0.013;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0383;0.0375;0.0387;0.1379;0.0791;0.0484;0.0195;0.015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0635;0.0624;0.0644;0.2294;0.1317;0.0805;0.0324;0.0251;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2337;0.2296;0.2372;0.8458;0.4858;0.2971;0.1197;0.0926;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2413;0.2372;0.2451;0.8744;0.5023;0.3073;0.1238;0.0958;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2644;0.2601;0.2691;0.9606;0.552;0.3378;0.1362;0.1054;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2833;0.2797;0.2907;1.0402;0.5988;0.3669;0.1483;0.115;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3091;0.3047;0.3159;1.1292;0.6495;0.3978;0.1606;0.1244;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3383;0.3338;0.3466;1.2401;0.7137;0.4372;0.1767;0.1369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4322;0.4268;0.4435;1.587;0.9136;0.5598;0.2263;0.1754;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4345;0.4303;0.4486;1.6087;0.9274;0.5688;0.2304;0.1788
178;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0228;0.0249;0.0256;0.0923;0.0535;0.0325;0.013;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0341;0.0372;0.0383;0.1383;0.0801;0.0487;0.0195;0.015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0566;0.0618;0.0637;0.2301;0.1334;0.0811;0.0324;0.0251;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2082;0.2276;0.2347;0.8484;0.492;0.2994;0.1197;0.0926;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2149;0.2351;0.2425;0.8771;0.5087;0.3097;0.1239;0.0958;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2355;0.2579;0.2663;0.9635;0.5591;0.3404;0.1362;0.1054;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2523;0.2773;0.2876;1.0433;0.6065;0.3698;0.1484;0.115;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2753;0.302;0.3126;1.1327;0.6579;0.4009;0.1607;0.1244;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3013;0.3309;0.343;1.2439;0.7228;0.4407;0.1767;0.137;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.385;0.4231;0.4387;1.5918;0.9253;0.5642;0.2264;0.1755;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.387;0.4266;0.4438;1.6136;0.9392;0.5733;0.2305;0.1789
179;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0199;0.0247;0.0253;0.0926;0.0542;0.0328;0.013;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0298;0.0369;0.0379;0.1386;0.0811;0.0491;0.0195;0.015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0494;0.0613;0.063;0.2307;0.1351;0.0818;0.0324;0.0251;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1817;0.2256;0.2322;0.8506;0.4983;0.3019;0.1198;0.0926;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1876;0.233;0.2399;0.8793;0.5152;0.3122;0.1239;0.0959;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2056;0.2556;0.2634;0.966;0.5662;0.3432;0.1363;0.1055;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2203;0.2748;0.2845;1.046;0.6142;0.3728;0.1484;0.1151;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2404;0.2993;0.3092;1.1356;0.6662;0.4041;0.1607;0.1245;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2631;0.328;0.3393;1.247;0.732;0.4442;0.1768;0.137;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3361;0.4193;0.4341;1.5959;0.9371;0.5687;0.2265;0.1756;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3379;0.4228;0.4391;1.6177;0.9512;0.5779;0.2306;0.179
180;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0182;0.0245;0.025;0.0928;0.0549;0.0331;0.013;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0273;0.0366;0.0375;0.1389;0.0822;0.0495;0.0195;0.0151;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0452;0.0607;0.0623;0.2311;0.1368;0.0825;0.0324;0.0251;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1664;0.2236;0.2297;0.8524;0.5046;0.3043;0.1198;0.0927;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1718;0.2309;0.2374;0.8811;0.5217;0.3147;0.1239;0.0959;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1883;0.2533;0.2606;0.968;0.5734;0.346;0.1363;0.1055;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2018;0.2724;0.2815;1.0482;0.622;0.3758;0.1485;0.1151;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2201;0.2967;0.3059;1.1379;0.6747;0.4074;0.1608;0.1246;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2409;0.3251;0.3357;1.2496;0.7413;0.4479;0.1769;0.1371;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3078;0.4156;0.4294;1.5992;0.9489;0.5734;0.2266;0.1756;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3095;0.419;0.4344;1.6211;0.9632;0.5826;0.2307;0.1791
181;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0242;0.0248;0.0929;0.0555;0.0333;0.013;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0362;0.0371;0.1391;0.0832;0.0499;0.0195;0.0151;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0602;0.0617;0.2315;0.1385;0.0832;0.0325;0.0251;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2216;0.2272;0.8537;0.5109;0.3069;0.1199;0.0927;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2289;0.2348;0.8825;0.5282;0.3174;0.124;0.0959;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2511;0.2578;0.9695;0.5806;0.3489;0.1364;0.1056;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.27;0.2785;1.0498;0.6298;0.379;0.1485;0.1152;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2941;0.3027;1.1397;0.6831;0.4108;0.1608;0.1246;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3222;0.3321;1.2516;0.7506;0.4516;0.1769;0.1372;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4119;0.4248;1.6017;0.9608;0.5782;0.2266;0.1757;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4153;0.4298;1.6236;0.9753;0.5875;0.2307;0.1791
182;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024;0.0245;0.093;0.0562;0.0336;0.013;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0359;0.0367;0.1393;0.0842;0.0504;0.0195;0.0151;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0597;0.061;0.2318;0.1402;0.0839;0.0325;0.0251;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2197;0.2248;0.8546;0.5172;0.3095;0.1199;0.0928;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.227;0.2323;0.8835;0.5348;0.3201;0.124;0.096;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2489;0.2551;0.9706;0.5878;0.3519;0.1364;0.1056;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2677;0.2755;1.051;0.6376;0.3822;0.1486;0.1152;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2916;0.2994;1.141;0.6916;0.4143;0.1609;0.1247;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3195;0.3285;1.253;0.76;0.4555;0.177;0.1372;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4084;0.4203;1.6035;0.9728;0.5831;0.2267;0.1758;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4118;0.4252;1.6254;0.9875;0.5925;0.2308;0.1792
183;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0238;0.0242;0.0931;0.0569;0.0339;0.013;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0356;0.0363;0.1394;0.0853;0.0508;0.0195;0.0151;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0592;0.0603;0.2319;0.1419;0.0846;0.0325;0.0251;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2179;0.2224;0.8551;0.5236;0.3122;0.1199;0.0928;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2251;0.2298;0.884;0.5414;0.3228;0.1241;0.096;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2469;0.2523;0.9712;0.595;0.3549;0.1365;0.1057;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2655;0.2725;1.0516;0.6455;0.3855;0.1486;0.1153;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2892;0.2962;1.1417;0.7002;0.4179;0.161;0.1247;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3169;0.325;1.2537;0.7693;0.4594;0.1771;0.1373;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4051;0.4158;1.6044;0.9848;0.5882;0.2268;0.1759;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4084;0.4206;1.6264;0.9996;0.5977;0.2309;0.1793
184;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0237;0.024;0.0931;0.0576;0.0342;0.013;0.0101;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0354;0.0359;0.1394;0.0863;0.0513;0.0195;0.0151;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0587;0.0597;0.2319;0.1437;0.0853;0.0325;0.0251;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2163;0.22;0.8552;0.53;0.3149;0.12;0.0928;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2234;0.2273;0.8841;0.548;0.3257;0.1241;0.0961;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2451;0.2496;0.9713;0.6023;0.3581;0.1365;0.1057;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2635;0.2696;1.0517;0.6534;0.3889;0.1487;0.1153;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.287;0.293;1.1418;0.7087;0.4216;0.161;0.1248;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3145;0.3215;1.2538;0.7787;0.4635;0.1771;0.1373;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4021;0.4113;1.6046;0.9968;0.5934;0.2269;0.1759;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4054;0.4161;1.6266;1.0119;0.603;0.231;0.1794
185;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0235;0.0237;0.0931;0.0583;0.0345;0.013;0.0101;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0351;0.0355;0.1393;0.0874;0.0517;0.0195;0.0151;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0583;0.059;0.2318;0.1454;0.0861;0.0325;0.0251;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2148;0.2176;0.8549;0.5364;0.3178;0.12;0.0929;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2219;0.2249;0.8838;0.5546;0.3286;0.1242;0.0961;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2434;0.2469;0.9709;0.6096;0.3613;0.1366;0.1058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2617;0.2667;1.0513;0.6612;0.3924;0.1488;0.1154;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.285;0.2898;1.1414;0.7173;0.4254;0.1611;0.1248;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3123;0.318;1.2534;0.7881;0.4676;0.1772;0.1374;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3993;0.4068;1.604;1.0089;0.5987;0.227;0.176;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4026;0.4116;1.6259;1.0241;0.6084;0.2311;0.1794
186;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0233;0.0235;0.093;0.059;0.0348;0.013;0.0101;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0349;0.0351;0.1392;0.0884;0.0522;0.0195;0.0151;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.058;0.0584;0.2316;0.1471;0.0869;0.0325;0.0252;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2135;0.2152;0.8542;0.5428;0.3207;0.1201;0.0929;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2205;0.2224;0.883;0.5613;0.3316;0.1242;0.0961;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2419;0.2442;0.9701;0.6168;0.3646;0.1366;0.1058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2601;0.2638;1.0504;0.6691;0.396;0.1488;0.1154;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2833;0.2867;1.1404;0.7258;0.4293;0.1611;0.1249;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3104;0.3146;1.2523;0.7975;0.4719;0.1773;0.1375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3968;0.4024;1.6026;1.0209;0.6042;0.227;0.1761;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4001;0.4071;1.6246;1.0363;0.6139;0.2312;0.1795
187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0232;0.0232;0.0929;0.0597;0.0352;0.013;0.0101;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0347;0.0347;0.139;0.0894;0.0527;0.0195;0.0151;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0577;0.0578;0.2313;0.1489;0.0877;0.0325;0.0252;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2124;0.2129;0.853;0.5492;0.3237;0.1201;0.093;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2194;0.22;0.8818;0.5679;0.3347;0.1243;0.0962;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2406;0.2416;0.9688;0.6241;0.368;0.1367;0.1059;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2587;0.2609;1.049;0.677;0.3997;0.1489;0.1155;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2818;0.2836;1.1389;0.7344;0.4333;0.1612;0.1249;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3088;0.3112;1.2506;0.8069;0.4763;0.1773;0.1375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3947;0.3981;1.6005;1.0329;0.6098;0.2271;0.1762;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.398;0.4027;1.6224;1.0485;0.6196;0.2312;0.1796
